,time,S,I,R,S_au,I_au,R_au,S_g,I_g,R_g,S_i,I_i,R_i,S_f,I_f,R_f
156,156,18037785,1476.116842,19702892.88,16033374.13,51528.95896,9414980.915,2565303.22,0.040398652,6662396.739,3239594.623,0.7502245,5988104.627,1561772.481,0.020190857,3978947.499
157,157,18037398.28,1290.68678,19703465.03,16016155.25,46944.97624,9436783.778,2565303.214,0.033647209,6662396.753,3239594.473,0.635492318,5988104.891,1561772.477,0.016830897,3978947.506
158,158,18037060.15,1128.544137,19703965.3,16000487.05,42753.4371,9456643.509,2565303.208,0.028024072,6662396.764,3239594.346,0.538306177,5988105.115,1561772.475,0.014030067,3978947.511
159,159,18036764.5,986.7658311,19704402.73,15986233.48,38923.43458,9474727.086,2565303.204,0.023340675,6662396.773,3239594.239,0.455982755,5988105.305,1561772.472,0.011695327,3978947.516
160,160,18036506,862.7953421,19704785.2,15973269.76,35426.0149,9491188.229,2565303.2,0.01943997,6662396.781,3239594.148,0.386249091,5988105.466,1561772.47,0.009749115,3978947.52
161,161,18036279.98,754.3968223,19705119.62,15961481.6,32234.14507,9506168.252,2565303.197,0.016191152,6662396.787,3239594.071,0.327179828,5988105.602,1561772.469,0.008126771,3978947.523
162,162,18036082.36,659.6149393,19705412.03,15950764.43,29322.66015,9519796.907,2565303.194,0.013485284,6662396.792,3239594.005,0.277144055,5988105.717,1561772.467,0.0067744,3978947.526
163,163,18035909.56,576.7397295,19705667.7,15941022.61,26668.19549,9532193.197,2565303.192,0.011231626,6662396.797,3239593.95,0.234760277,5988105.815,1561772.466,0.005647076,3978947.528
164,164,18035758.48,504.2758449,19705891.24,15932168.74,24249.1084,9543466.156,2565303.19,0.009354599,6662396.801,3239593.903,0.19885827,5988105.898,1561772.465,0.00470735,3978947.53
165,165,18035626.39,440.9156449,19706086.7,15924123.01,22045.3927,9553715.594,2565303.189,0.007791259,6662396.804,3239593.863,0.168446775,5988105.968,1561772.465,0.003924002,3978947.531
166,166,18035510.89,385.5156555,19706257.59,15916812.61,20038.58899,9563032.8,2565303.187,0.006489185,6662396.806,3239593.83,0.142686124,5988106.027,1561772.464,0.003271012,3978947.533
167,167,18035409.9,337.075976,19706407.02,15910171.1,18211.69311,9571501.211,2565303.186,0.005404713,6662396.808,3239593.801,0.120865063,5988106.078,1561772.463,0.002726685,3978947.534
168,168,18035321.61,294.7222644,19706537.67,15904137.9,16549.06452,9579197.035,2565303.185,0.004501478,6662396.81,3239593.777,0.102381107,5988106.12,1561772.463,0.002272939,3978947.535
169,169,18035244.41,257.6899806,19706651.9,15898657.83,15036.3359,9586189.832,2565303.185,0.003749191,6662396.812,3239593.757,0.086723912,5988106.157,1561772.463,0.0018947,3978947.536
170,170,18035176.91,225.3106048,19706751.78,15893680.61,13660.32513,9592543.065,2565303.184,0.003122627,6662396.813,3239593.739,0.07346118,5988106.187,1561772.462,0.001579404,3978947.536
171,171,18035117.89,196.9995836,19706839.11,15889160.45,12408.95043,9598314.599,2565303.183,0.002600774,6662396.814,3239593.725,0.062226724,5988106.213,1561772.462,0.001316577,3978947.537
172,172,18035066.28,172.245788,19706915.47,15885055.67,11271.14906,9603557.176,2565303.183,0.002166133,6662396.815,3239593.712,0.052710359,5988106.235,1561772.462,0.001097486,3978947.537
173,173,18035021.17,150.6022942,19706982.23,15881328.35,10236.80015,9608318.848,2565303.183,0.001804129,6662396.815,3239593.702,0.044649337,5988106.254,1561772.462,0.000914854,3978947.537
174,174,18034981.72,131.678321,19707040.61,15877943.97,9296.651637,9612643.375,2565303.182,0.001502623,6662396.816,3239593.693,0.037821091,5988106.269,1561772.461,0.000762614,3978947.538
175,175,18034947.22,115.1321789,19707091.64,15874871.15,8442.251626,9616570.598,2565303.182,0.001251505,6662396.817,3239593.685,0.032037092,5988106.283,1561772.461,0.000635708,3978947.538
176,176,18034917.07,100.6651048,19707136.27,15872081.34,7665.88407,9620136.78,2565303.182,0.001042354,6662396.817,3239593.679,0.027137643,5988106.294,1561772.461,0.00052992,3978947.538
177,177,18034890.7,88.01586993,19707175.29,15869548.58,6960.508706,9623374.914,2565303.182,0.000868156,6662396.817,3239593.674,0.022987469,5988106.303,1561772.461,0.000441734,3978947.538
178,178,18034867.64,76.95606545,19707209.4,15867249.28,6319.705175,9626315.014,2565303.182,0.000723069,6662396.818,3239593.669,0.019471984,5988106.312,1561772.461,0.000368223,3978947.539
179,179,18034847.49,67.28597957,19707239.23,15865162,5737.62116,9628984.377,2565303.182,0.00060223,6662396.818,3239593.665,0.016494123,5988106.318,1561772.461,0.000306946,3978947.539
180,180,18034829.86,58.83099266,19707265.31,15863267.25,5208.924374,9631407.822,2565303.181,0.000501583,6662396.818,3239593.662,0.013971668,5988106.324,1561772.461,0.000255866,3978947.539
